,GitHub Name,Smogon Name,PMD Reference,,Pts.,Spr.,D.Spr.,Pokémon,Types,,HP,Atk,Def,SpA,SpD,Spe,0,252,252+,,Sprite
,dewgong,dewgong,0087,,1,,,Dewgong,Water,Ice,90,70,80,70,95,70,176,239,262,,
,grimer,grimer,0088,,1,,,Grimer,Poison,-,80,80,50,40,50,25,86,149,163,,
,grimer-alola,grimer-alola,0088/0001,,1,,,Alolan Grimer,Poison,Dark,80,80,50,40,50,25,86,149,163,,
,muk,muk,0089,,2,,,Muk,Poison,-,105,105,75,65,100,50,136,199,218,,
,muk-alola,muk-alola,0089/0001,,12,,,Alolan Muk,Poison,Dark,105,105,75,65,100,50,136,199,218,,
,shellder,shellder,0090,,1,,,Shellder,Water,-,30,65,100,45,25,40,116,179,196,,
,cloyster,cloyster,0091,,7,,,Cloyster,Water,Ice,50,95,180,85,45,70,176,239,262,,
,gastly,gastly,0092,,1,,,Gastly,Ghost,Poison,30,35,30,100,35,80,196,259,284,,
,haunter,haunter,0093,,1,,,Haunter,Ghost,Poison,45,50,45,115,55,95,226,289,317,,
,gengar,gengar,0094,,13,,,Gengar,Ghost,Poison,60,65,60,130,75,110,256,319,350,,
,gengar-mega,gengar-mega,0094/0001,,99,,,Mega Gengar,Ghost,Poison,60,65,80,170,95,130,296,359,394,,
,onix,onix,0095,,1,,,Onix,Rock,Ground,35,45,160,30,45,70,176,239,262,,
,drowzee,drowzee,0096,,1,,,Drowzee,Psychic,-,60,48,45,43,90,42,120,183,201,,
,hypno,hypno,0097,,1,,,Hypno,Psychic,-,85,73,70,73,115,67,170,233,256,,
,krabby,krabby,0098,,1,,,Krabby,Water,-,30,105,90,25,25,50,136,199,218,,
,kingler,kingler,0099,,1,,,Kingler,Water,-,55,130,115,50,50,75,186,249,273,,
,voltorb,voltorb,0100,,1,,,Voltorb,Electric,-,40,30,50,55,55,100,236,299,328,,
,voltorb-hisui,voltorb-hisui,0100/0001,,,,,Hisuian Voltorb,Electric,Grass,40,30,50,55,55,100,236,299,328,,
,electrode,electrode,0101,,2,,,Electrode,Electric,-,60,50,70,80,80,150,336,399,438,,
,electrode-hisui,electrode-hisui,0101/0001,,,,,Hisuian Electrode,Electric,Grass,60,50,70,80,80,150,336,399,438,,
,exeggcute,exeggcute,0102,,1,,,Exeggcute,Grass,Psychic,60,40,80,60,45,40,116,179,196,,
,exeggutor,exeggutor,0103,,1,,,Exeggutor,Grass,Psychic,95,95,85,125,75,55,146,209,229,,
,exeggutor-alola,exeggutor-alola,0103/0001,,3,,,Alolan Exeggutor,Grass,Dragon,95,105,85,125,75,45,126,189,207,,
,cubone,cubone,0104,,1,,,Cubone,Ground,-,50,50,95,40,50,35,106,169,185,,
,marowak,marowak,0105,,1,,,Marowak,Ground,-,60,80,110,50,80,45,126,189,207,,
,marowak-alola,marowak-alola,0105/0001,,4,,,Alolan Marowak,Fire,Ghost,60,80,110,50,80,45,126,189,207,,
,hitmonlee,hitmonlee,0106,,5,,,Hitmonlee,Fighting,-,50,120,53,35,110,87,210,273,300,,
,hitmonchan,hitmonchan,0107,,1,,,Hitmonchan,Fighting,-,50,105,79,35,110,76,188,251,276,,
,lickitung,lickitung,0108,,1,,,Lickitung,Normal,-,90,55,75,60,75,30,96,159,174,,
,koffing,koffing,0109,,1,,,Koffing,Poison,-,40,65,95,60,45,35,106,169,185,,
,weezing,weezing,0110,,4,,,Weezing,Poison,-,65,90,120,85,70,60,156,219,240,,
,weezing-galar,weezing-galar,0110/0001,,,,,Galarian Weezing,Poison,Fairy,65,90,120,85,70,60,156,219,240,,
,rhyhorn,rhyhorn,0111,,1,,,Rhyhorn,Ground,Rock,80,85,95,30,30,25,86,149,163,,
,rhydon,rhydon,0112,,2,,,Rhydon,Ground,Rock,105,130,120,45,45,40,116,179,196,,
,chansey,chansey,0113,,4,,,Chansey,Normal,-,250,5,5,35,105,50,136,199,218,,
,tangela,tangela,0114,,5,,,Tangela,Grass,-,65,55,115,100,40,60,156,219,240,,
,kangaskhan,kangaskhan,0115,,2,,,Kangaskhan,Normal,-,105,95,80,40,80,90,216,279,306,,
,kangaskhan-mega,kangaskhan-mega,0115/0001,,11,,,Mega Kangaskhan,Normal,-,105,125,100,60,100,100,236,299,328,,
,horsea,horsea,0116,,1,,,Horsea,Water,-,30,40,70,70,25,60,156,219,240,,
,seadra,seadra,0117,,1,,,Seadra,Water,-,55,65,95,95,45,85,206,269,295,,
,goldeen,goldeen,0118,,1,,,Goldeen,Water,-,45,67,60,35,50,63,162,225,247,,
,seaking,seaking,0119,,1,,,Seaking,Water,-,80,92,65,65,80,68,172,235,258,,
,staryu,staryu,0120,,1,,,Staryu,Water,-,30,45,55,70,55,85,206,269,295,,
,starmie,starmie,0121,,12,,,Starmie,Water,Psychic,60,75,85,100,85,115,266,329,361,,
,mr-mime,mrmime,0122,,1,,,Mr. Mime,Psychic,Fairy,40,45,65,100,120,90,216,279,306,,
,mr-mime-galar,mrmime-galar,0122/0001,,,,,Galarian Mr. Mime,Ice,Psychic,50,65,65,90,90,100,236,299,328,,
,scyther,scyther,0123,,1,,,Scyther,Bug,Flying,70,110,80,55,80,105,246,309,339,,
,jynx,jynx,0124,,1,,,Jynx,Ice,Psychic,65,50,35,115,95,95,226,289,317,,
,electabuzz,electabuzz,0125,,1,,,Electabuzz,Electric,-,65,83,57,95,85,105,246,309,339,,
,magmar,magmar,0126,,1,,,Magmar,Fire,-,65,95,57,100,85,93,222,285,313,,
,pinsir,pinsir,0127,,1,,,Pinsir,Bug,-,65,125,100,55,70,85,206,269,295,,
,pinsir-mega,pinsir-mega,0127/0001,,13,,,Mega Pinsir,Bug,Flying,65,155,120,65,90,105,246,309,339,,
,tauros,tauros,0128,,3,,,Tauros,Normal,-,75,100,95,40,70,110,256,319,350,,
,tauros-paldea,tauros-paldea,0128/0001,,,,,Paldean Tauros,Fighting,-,75,110,105,30,70,100,236,299,328,,
,tauros-paldea-fire,tauros-paldeafire,0128/0002,,,,,Paldean Tauros Blaze,Fighting,Fire,75,110,105,30,70,100,236,299,328,,
,tauros-paldea-water,tauros-paldeawater,0128/0003,,,,,Paldean Tauros Aqua,Fighting,Water,75,110,105,30,70,100,236,299,328,,
,magikarp,magikarp,0129,,1,,,Magikarp,Water,-,20,10,55,15,20,80,196,259,284,,
,gyarados,gyarados,0130,,9,,,Gyarados,Water,Flying,95,125,79,60,100,81,198,261,287,,
,gyarados-mega,gyarados-mega,0130/0001,,12,,,Mega Gyarados,Water,Dark,95,155,109,70,130,81,198,261,287,,
,lapras,lapras,0131,,1,,,Lapras,Water,Ice,130,85,80,85,95,60,156,219,240,,
,ditto,ditto,0132,,4,,,Ditto,Normal,-,48,48,48,48,48,48,132,195,214,,
,eevee,eevee,0133,,1,,,Eevee,Normal,-,55,55,50,45,65,55,146,209,229,,
,eevee-starter,eevee-starter,0133,,,,,Eevee-Starter,Normal,-,65,75,70,65,85,75,186,249,273,,
,vaporeon,vaporeon,0134,,8,,,Vaporeon,Water,-,130,65,60,110,95,65,166,229,251,,
,jolteon,jolteon,0135,,7,,,Jolteon,Electric,-,65,65,60,110,95,130,296,359,394,,
,flareon,flareon,0136,,1,,,Flareon,Fire,-,65,130,60,95,110,65,166,229,251,,
,porygon,porygon,0137,,1,,,Porygon,Normal,-,65,60,70,85,75,40,116,179,196,,
,omanyte,omanyte,0138,,1,,,Omanyte,Rock,Water,35,40,100,90,55,35,106,169,185,,
,omastar,omastar,0139,,3,,,Omastar,Rock,Water,70,60,125,115,70,55,146,209,229,,
,kabuto,kabuto,0140,,1,,,Kabuto,Rock,Water,30,80,90,55,45,55,146,209,229,,
,kabutops,kabutops,0141,,4,,,Kabutops,Rock,Water,60,115,105,65,70,80,196,259,284,,
,aerodactyl,aerodactyl,0142,,4,,,Aerodactyl,Rock,Flying,80,105,65,60,75,130,296,359,394,,
,aerodactyl-mega,aerodactyl-mega,0142/0001,,15,,,Mega Aerodactyl,Rock,Flying,80,135,85,70,95,150,336,399,438,,
,snorlax,snorlax,0143,,13,,,Snorlax,Normal,-,160,110,65,65,110,30,96,159,174,,
,articuno,articuno,0144,,1,,,Articuno,Ice,Flying,90,85,100,95,125,85,206,269,295,,
,articuno-galar,articuno-galar,0144/0001,,,,,Galarian Articuno,Psychic,Flying,90,85,85,125,100,95,226,289,317,,
,zapdos,zapdos,0145,,16,,,Zapdos,Electric,Flying,90,90,85,125,90,100,236,299,328,,
,zapdos-galar,zapdos-galar,0145/0001,,,,,Galarian Zapdos,Fighting,Flying,90,125,90,85,90,100,236,299,328,,
,moltres,moltres,0146,,3,,,Moltres,Fire,Flying,90,100,90,125,85,90,216,279,306,,
,moltres-galar,moltres-galar,0146/0001,,,,,Galarian Moltres,Dark,Flying,90,85,90,100,125,90,216,279,306,,
,dratini,dratini,0147,,1,,,Dratini,Dragon,-,41,64,45,50,50,50,136,199,218,,
,dragonair,dragonair,0148,,1,,,Dragonair,Dragon,-,61,84,65,70,70,70,176,239,262,,
,dragonite,dragonite,0149,,16,,,Dragonite,Dragon,Flying,91,134,95,100,100,80,196,259,284,,
,mewtwo,mewtwo,0150,,99,,,Mewtwo,Psychic,-,106,110,90,154,90,130,296,359,394,,
,mewtwo-mega-x,mewtwo-megax,0150/0001,,99,,,Mega Mewtwo X,Psychic,Fighting,106,190,100,154,100,130,296,359,394,,
,mewtwo-mega-y,mewtwo-megay,0150/0002,,99,,,Mega Mewtwo Y,Psychic,-,106,150,70,194,120,140,316,379,416,,
,mew,mew,0151,,19,,,Mew,Psychic,-,100,100,100,100,100,100,236,299,328,,
,chikorita,chikorita,0152,,1,,,Chikorita,Grass,-,45,49,65,49,65,45,126,189,207,,
,bayleef,bayleef,0153,,1,,,Bayleef,Grass,-,60,62,80,63,80,60,156,219,240,,
,meganium,meganium,0154,,1,,,Meganium,Grass,-,80,82,100,83,100,80,196,259,284,,
,cyndaquil,cyndaquil,0155,,1,,,Cyndaquil,Fire,-,39,52,43,60,50,65,166,229,251,,
,quilava,quilava,0156,,1,,,Quilava,Fire,-,58,64,58,80,65,80,196,259,284,,
,typhlosion,typhlosion,0157,,1,,,Typhlosion,Fire,-,78,84,78,109,85,100,236,299,328,,
,typhlosion-hisui,typhlosion-hisui,0157/0001,,,,,Hisuian Typhlosion,Fire,Ghost,73,84,78,119,85,95,226,289,317,,
,totodile,totodile,0158,,1,,,Totodile,Water,-,50,65,64,44,48,43,122,185,203,,
,croconaw,croconaw,0159,,1,,,Croconaw,Water,-,65,80,80,59,63,58,152,215,236,,
,feraligatr,feraligatr,0160,,4,,,Feraligatr,Water,-,85,105,100,79,83,78,192,255,280,,
,sentret,sentret,0161,,1,,,Sentret,Normal,-,35,46,34,35,45,20,76,139,152,,
,furret,furret,0162,,1,,,Furret,Normal,-,85,76,64,45,55,90,216,279,306,,
,hoothoot,hoothoot,0163,,1,,,Hoothoot,Normal,Flying,60,30,30,36,56,50,136,199,218,,
,noctowl,noctowl,0164,,1,,,Noctowl,Normal,Flying,100,50,50,86,96,70,176,239,262,,
,ledyba,ledyba,0165,,1,,,Ledyba,Bug,Flying,40,20,30,40,80,55,146,209,229,,
,ledian,ledian,0166,,1,,,Ledian,Bug,Flying,55,35,50,55,110,85,206,269,295,,
,spinarak,spinarak,0167,,1,,,Spinarak,Bug,Poison,40,60,40,40,40,30,96,159,174,,
,ariados,ariados,0168,,1,,,Ariados,Bug,Poison,70,90,70,60,70,40,116,179,196,,
,crobat,crobat,0169,,11,,,Crobat,Poison,Flying,85,90,80,70,80,130,296,359,394,,
,chinchou,chinchou,0170,,1,,,Chinchou,Water,Electric,75,38,38,56,56,67,170,233,256,,
,lanturn,lanturn,0171,,6,,,Lanturn,Water,Electric,125,58,58,76,76,67,170,233,256,,
,pichu,pichu,0172,,1,,,Pichu,Electric,-,20,40,15,35,35,60,156,219,240,,
,pichu-spiky-eared,pichu-spikyeared,0172,,,,,Pichu-Spiky-Eared,Electric,-,20,40,15,35,35,60,156,219,240,,
,cleffa,cleffa,0173,,1,,,Cleffa,Fairy,-,50,25,28,45,55,15,66,129,141,,
,igglybuff,igglybuff,0174,,1,,,Igglybuff,Normal,Fairy,90,30,15,40,20,15,66,129,141,,
,togepi,togepi,0175,,1,,,Togepi,Fairy,-,35,20,65,40,65,20,76,139,152,,
,togetic,togetic,0176,,1,,,Togetic,Fairy,Flying,55,40,85,80,105,40,116,179,196,,
,natu,natu,0177,,1,,,Natu,Psychic,Flying,40,50,45,70,45,70,176,239,262,,
,xatu,xatu,0178,,3,,,Xatu,Psychic,Flying,65,75,70,95,70,95,226,289,317,,
,mareep,mareep,0179,,1,,,Mareep,Electric,-,55,40,40,65,45,35,106,169,185,,
,flaaffy,flaaffy,0180,,1,,,Flaaffy,Electric,-,70,55,55,80,60,45,126,189,207,,
,ampharos,ampharos,0181,,1,,,Ampharos,Electric,-,90,75,85,115,90,55,146,209,229,,
,ampharos-mega,ampharos-mega,0181/0001,,5,,,Mega Ampharos,Electric,Dragon,90,95,105,165,110,45,126,189,207,,
